key,english,czech
"common.loading","Loading...","Načítání..."
"common.saving","Saving...","Ukládání..."
"common.deleting","Deleting...","Mazání..."
"common.creating","Creating...","Vytváření..."
"common.retry","Retry","Zkusit znovu"
"common.cancel","Cancel","Zrušit"
"common.save","Save","Uložit"
"common.delete","Delete","Smazat"
"common.edit","Edit","Upravit"
"common.close","Close","Zavřít"
"common.dismiss","Dismiss","Zavřít"
"common.refresh","Refresh","Obnovit"
"common.copy","Copy","Kopírovat"
"common.copied","Copied","Zkopírováno"
"common.duplicate","Duplicate",""
"common.configure","Configure","Nastavit"
"common.continue","Continue","Pokračovat"
"common.skip","Skip","Přeskočit"
"common.back","Back","Zpět"
"common.clear","Clear","Vymazat"
"common.send","Send","Odeslat"
"common.apply","Apply","Použít"
"common.confirm","Confirm",""
"common.done","Done",""
"common.swap","Swap",""
"common.draft","Draft",""
"common.tools","Tools",""
"common.triggers","Triggers",""
"common.connectors","Connectors",""
"common.add","Add",""
"common.test","Test",""
"common.actions","Actions","Akce"
"common.status","Status","Stav"
"common.name","Name","Název"
"common.description","Description","Popis"
"common.created","Created","Vytvořeno"
"common.id","ID","ID"
"common.confirm_destructive_cannot_undo","This action cannot be undone.",""
"common.confirm_destructive_type_to_confirm","Type {name} to confirm",""
"common.confirm_destructive_discard","Discard",""
"common.confirm_destructive_delete_persona","Delete Agent",""
"common.confirm_destructive_delete_persona_warning","This agent and all its configuration will be permanently removed.",""
"common.confirm_destructive_discard_event","Discard Event",""
"common.confirm_destructive_discard_event_warning","This dead-letter event will be permanently discarded.",""
"common.error","Error","Chyba"
"common.success","Success","Úspěch"
"common.required","required","povinné"
"common.select","-- select --","-- vyberte --"
"common.no_results","No results found","Žádné výsledky"
"common.active","Active","Aktivní"
"common.inactive","Inactive","Neaktivní"
"common.enabled","Enabled","Zapnuto"
"common.disabled","Disabled","Vypnuto"
"common.off","Off","Vyp"
"common.enable_item","Enable {name}","Zapnout {name}"
"common.disable_item","Disable {name}","Vypnout {name}"
"common.agent_count_one","{count} agent","{count} agent"
"common.agent_count_other","{count} agents","{count} agentů"
"common.trigger_count_one","{count} trigger","{count} spouštěč"
"common.trigger_count_other","{count} triggers","{count} spouštěčů"
"common.connector_count_one","{count} connector","{count} konektor"
"common.connector_count_other","{count} connectors","{count} konektorů"
"common.tool_count_one","{count} tool","{count} nástroj"
"common.tool_count_other","{count} tools","{count} nástrojů"
"common.channel_count_one","{count} channel","{count} kanál"
"common.channel_count_other","{count} channels","{count} kanálů"
"common.event_count_one","{count} event","{count} událost"
"common.event_count_other","{count} events","{count} událostí"
"common.use_case_count_one","{count} use case","{count} případ užití"
"common.use_case_count_other","{count} use cases","{count} případů užití"
"common.step_count_one","{count} step","{count} krok"
"common.step_count_other","{count} steps","{count} kroků"
"common.scenario_count_one","{count} scenario","{count} scénář"
"common.scenario_count_other","{count} scenarios","{count} scénářů"
