ID,Name,Category,Description,Memory,Human Review,Messages,Events,Triggers,Connectors,Flows,Adoption Qs,Hardcoded Slack,Evaluation,Rating
ai-document-intelligence-hub,AI Document Intelligence Hub,content,Monitors Google Drive for documents and builds Notion knowledge base,No,No,Yes,Yes,"polling, schedule",4,3,Yes,Yes,Missing memory and review dimensions. Hardcodes Slack. Good concept and flows but needs generic messaging and learning loop.,5
analytics-content-distribution-use-case,Analytics Content Distribution,content,Detects WordPress posts and auto-schedules social media via Buffer,No,No,Yes,Yes,"polling, schedule",3,3,Yes,No,No memory or review. Clean concept but no learning loop. Would benefit from review of which posts performed well -> memory.,5
cms-index-sync-use-case,CMS Index Sync,content,Watches Contentful webhooks and updates Algolia search index,No,No,Yes,Yes,"webhook, schedule",3,3,Yes,Yes,Technical sync template. No memory/review needed for this use case honestly. Hardcodes Slack for status. Solid but niche.,6
cms-sync-use-case,CMS Sync,content,Syncs Webflow CMS changes to Airtable with SEO validation,No,Yes,Yes,Yes,"webhook, polling",3,3,Yes,Yes,Has review but no memory to learn from it. Hardcodes Slack. Good foundation but review->memory pattern missing.,5
content-approval-workflow,Content Approval Workflow,content,Monitors Notion for content ready for review,No,Yes,Yes,Yes,polling,3,3,Yes,Yes,Has review but no memory. Hardcodes Slack. Natural candidate for review->memory pattern (learn what gets approved/rejected).,5
content-performance-reporter,Content Performance Reporter,content,Analyzes page views and generates weekly trend reports,Yes,Yes,Yes,Yes,manual,0,1,No,No,Has memory and review but only 1 flow and 0 connectors. No adoption questions. Lightweight - needs enrichment.,4
content-schedule-manager,Content Schedule Manager,content,Manages Notion publishing schedule with deadline reminders,Yes,Yes,Yes,Yes,schedule,0,2,No,No,Has memory and review. No connectors or adoption questions. Very lightweight template.,4
newsletter-curator,Newsletter Curator,content,Compiles Notion links into newsletters sent via Gmail,Yes,Yes,Yes,Yes,manual,0,1,No,No,Has memory and review but very lightweight. 0 connectors and 1 flow. Needs proper connector definitions.,4
product-catalog-ai-enricher,Product Catalog AI Enricher,content,AI-generates product descriptions from sparse Google Sheets data,No,No,Yes,Yes,schedule,2,3,Yes,Yes,No memory or review. Batch processing use case. Could benefit from memory of which enrichments the user edits (learning quality).,5
video-knowledge-base-builder,Video Knowledge Base Builder,content,Transcribes Loom recordings and creates Notion pages,No,No,Yes,Yes,webhook,3,2,Yes,Yes,No memory or review. Straightforward pipeline. Hardcodes Slack. Low priority for improvement.,5
autonomous-issue-resolver,Autonomous Issue Resolver,development,Polls Jira for stale issues and recommends resolutions,No,No,Yes,Yes,"polling, schedule",3,3,Yes,Yes,No memory or review. Should learn from which resolutions were accepted. Hardcodes Slack.,5
build-intelligence-use-case,Build Intelligence,development,Monitors CircleCI failures and posts debugging tips,No,No,Yes,Yes,"webhook, schedule",3,3,Yes,Yes,No memory or review. Should learn recurring failure patterns. Hardcodes Slack.,5
ci-cd-pipeline-manager,CI/CD Pipeline Manager,development,Manages GitLab CI/CD lifecycle with stage notifications,No,No,Yes,Yes,"webhook, schedule, polling",4,3,Yes,Yes,No memory or review. Pure notification relay. Hardcodes Slack.,5
codebase-health-scanner,Codebase Health Scanner,development,Monthly codebase health scan with scorecard,No,No,Yes,No,schedule,1,1,Yes,No,Minimal template. Only 1 connector and 1 flow. No events. Uses codebase connector which is good.,4
design-handoff-coordinator,Design Handoff Coordinator,development,Syncs Figma changes to Linear tickets,No,No,Yes,Yes,"webhook, polling",3,3,Yes,Yes,No memory or review. Clean sync pipeline. Hardcodes Slack.,5
dev-lifecycle-manager,Dev Lifecycle Manager,development,Watches GitHub PRs/issues/releases with team notifications,Yes,Yes,Yes,Yes,"polling, webhook, manual",3,3,Yes,Yes,Has memory and review. Good dimensions. Hardcodes Slack and includes manual trigger. Needs generic messaging.,7
documentation-freshness-guardian,Documentation Freshness Guardian,development,Scans Confluence for stale docs and notifies teams,Yes,Yes,Yes,Yes,schedule,3,3,Yes,Yes,Has memory and review. Good dimensions. Hardcodes Slack. Would be great with review->memory learning loop.,7
documentation-publisher,Documentation Publisher,development,Watches Notion for pages to publish to GitHub,No,No,Yes,Yes,polling,3,3,Yes,Yes,No memory or review. Straightforward publishing pipeline. Hardcodes Slack.,5
